iter	Passed	Remaining
411	4816	3367
412	4826	3354
413	4836	3340
414	4846	3328
415	4855	3314
416	4865	3301
417	4874	3288
418	4885	3276
419	4895	3263
420	4905	3251
421	4914	3237
422	4925	3225
423	4935	3213
424	4945	3200
425	4956	3187
426	4966	3175
427	4976	3162
428	4986	3150
429	4996	3137
430	5005	3123
431	5014	3110
432	5023	3097
433	5031	3083
434	5040	3070
435	5049	3057
436	5059	3044
437	5066	3030
438	5076	3018
439	5085	3005
440	5095	2992
441	5102	2978
442	5107	2963
443	5113	2948
444	5120	2934
445	5127	2919
446	5134	2906
447	5143	2893
448	5155	2882
449	5165	2869
450	5176	2857
451	5186	2845
452	5197	2834
453	5208	2822
454	5218	2809
455	5229	2798
456	5239	2786
457	5251	2774
458	5261	2762
459	5274	2751
460	5285	2740
461	5297	2729
462	5310	2718
463	5321	2706
464	5333	2695
465	5343	2683
466	5354	2671
467	5366	2660
468	5376	2648
469	5387	2636
470	5397	2624
471	5408	2612
472	5419	2600
473	5431	2589
474	5441	2577
475	5450	2565
476	5460	2552
477	5469	2540
478	5479	2528
479	5489	2516
480	5500	2504
481	5510	2492
482	5519	2479
483	5530	2467
484	5540	2455
485	5549	2443
486	5560	2431
487	5569	2419
488	5579	2407
489	5589	2395
490	5599	2383
491	5609	2371
492	5618	2359
493	5628	2346
494	5637	2334
495	5647	2322
496	5656	2310
497	5666	2298
498	5677	2286
499	5686	2274
500	5696	2262
501	5706	2250
502	5716	2238
503	5726	2226
504	5737	2215
505	5748	2203
506	5758	2192
507	5770	2180
508	5779	2168
509	5789	2156
510	5800	2145
511	5809	2133
512	5820	2121
513	5831	2110
514	5841	2098
515	5851	2086
516	5862	2075
517	5872	2063
518	5882	2051
519	5892	2039
520	5902	2027
521	5912	2016
522	5922	2004
523	5933	1992
524	5943	1981
525	5952	1969
526	5964	1957
527	5974	1946
528	5984	1934
529	5994	1922
530	6005	1911
531	6014	1899
532	6023	1887
533	6033	1875
534	6043	1864
535	6054	1852
536	6063	1840
537	6071	1828
538	6078	1815
539	6085	1803
540	6095	1791
541	6103	1779
542	6112	1767
543	6120	1755
544	6130	1743
545	6138	1731
546	6147	1719
547	6155	1707
548	6163	1695
549	6171	1683
550	6180	1671
551	6188	1659
552	6197	1647
553	6205	1635
554	6214	1623
555	6222	1611
556	6231	1599
557	6240	1588
558	6249	1576
559	6256	1564
560	6264	1552
561	6272	1540
562	6281	1528
563	6289	1516
564	6298	1505
565	6308	1493
566	6316	1481
567	6324	1469
568	6332	1457
569	6340	1446
570	6349	1434
571	6357	1422
572	6366	1411
573	6374	1399
574	6381	1387
575	6390	1375
576	6398	1363
577	6407	1352
578	6416	1340
579	6424	1329
580	6431	1317
581	6440	1305
582	6448	1294
583	6457	1282
584	6465	1271
585	6474	1259
586	6483	1248
587	6490	1236
588	6499	1224
589	6508	1213
590	6516	1201
591	6525	1190
592	6533	1178
593	6541	1167
594	6548	1155
595	6557	1144
596	6565	1132
597	6573	1121
598	6582	1109
599	6591	1098
600	6599	1087
601	6608	1075
602	6617	1064
603	6625	1053
604	6634	1041
605	6643	1030
606	6651	1019
607	6659	1007
608	6668	996
609	6676	985
610	6684	973
611	6691	962
612	6700	951
613	6710	939
614	6718	928
615	6726	917
616	6734	905
617	6744	894
618	6753	883
619	6763	872
620	6771	861
621	6780	850
622	6788	839
623	6797	827
624	6806	816
625	6814	805
626	6824	794
627	6832	783
628	6840	772
629	6849	761
630	6858	749
631	6867	738
632	6876	727
633	6885	716
634	6893	705
635	6902	694
636	6909	683
637	6917	672
638	6926	661
639	6933	650
640	6942	638
641	6950	627
642	6958	616
643	6967	605
644	6974	594
645	6981	583
646	6988	572
647	6994	561
648	7001	550
649	7009	539
650	7016	528
651	7023	517
652	7029	505
653	7036	494
654	7042	483
655	7061	473
656	7089	464
657	7119	454
658	7152	444
659	7186	435
660	7221	426
661	7252	416
662	7288	406
663	7319	396
664	7355	387
665	7388	377
666	7426	367
667	7458	357
668	7488	347
669	7518	336
670	7546	326
671	7579	315
672	7609	305
673	7640	294
674	7669	284
675	7701	273
676	7727	262
677	7757	251
678	7790	240
679	7820	230
680	7851	219
681	7882	208
682	7914	197
683	7943	185
684	7970	174
685	7998	163
686	8030	151
687	8048	140
688	8057	128
689	8065	116
690	8070	105
691	8075	93
692	8081	81
693	8088	69
694	8094	58
695	8099	46
696	8105	34
697	8111	23
698	8117	11
699	8123	0
03
675	8203	291
676	8210	278
677	8218	266
678	8226	254
679	8234	242
680	8243	229
681	8250	217
682	8258	205
683	8266	193
684	8274	181
685	8284	169
686	8291	156
687	8299	144
688	8307	132
689	8314	120
690	8322	108
691	8330	96
692	8337	84
693	8345	72
694	8355	60
695	8363	48
696	8371	36
697	8379	24
698	8387	11
699	8396	0
